index,age,job,marital_status,education,has_credit_default,account_balance,has_housing_loan,has_personal_loan,contact_type,day_of_month,month,last_contact_duration,num_contacts_campaign,days_since_prev_campaign,num_contacts_previous,poutcome
3585,33,entrepreneur,married,secondary,no,-118.0,yes,yes,unknown,27,may,421,3,-1,0,unknown
65,51,blue-collar,divorced,secondary,no,203.0,yes,no,cellular,8,may,134,1,170,5,failure
1385,42,admin.,married,secondary,no,3165.0,yes,no,unknown,16,jun,298,4,-1,0,unknown
3703,42,blue-collar,married,primary,no,-97.0,yes,no,cellular,3,feb,216,4,271,5,failure
2659,59,admin.,married,secondary,no,92.0,yes,no,cellular,12,may,139,2,350,1,failure
2934,41,services,married,unknown,no,88.0,yes,no,cellular,11,may,105,1,336,2,failure
26,55,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,247,1,-1,0,unknown
339,51,self-employed,divorced,primary,no,10924.0,no,no,cellular,6,may,106,2,-1,0,unknown
4297,26,blue-collar,single,secondary,no,592.0,yes,yes,unknown,27,may,174,1,-1,0,unknown
3115,39,self-employed,married,tertiary,no,585.0,yes,no,cellular,18,nov,48,1,181,3,failure
4333,30,management,single,tertiary,no,2186.0,yes,no,unknown,3,jun,366,1,-1,0,unknown
2473,32,technician,married,tertiary,no,-1053.0,yes,no,cellular,21,jul,357,3,-1,0,unknown
4327,55,services,divorced,primary,no,653.0,no,no,unknown,6,jun,800,1,-1,0,unknown
1165,34,blue-collar,married,secondary,no,1897.0,yes,yes,cellular,19,nov,441,1,-1,0,unknown
4360,33,management,married,tertiary,no,296.0,no,no,cellular,16,jul,90,2,-1,0,unknown
105,32,management,single,tertiary,no,574.0,yes,no,cellular,14,apr,259,2,145,3,failure
1462,33,unknown,married,secondary,no,2727.0,no,no,cellular,6,aug,205,3,-1,0,unknown
3149,31,services,married,secondary,no,500.0,yes,no,unknown,6,jun,19,18,-1,0,unknown
901,30,technician,single,tertiary,no,3.0,yes,no,cellular,6,may,45,2,169,2,failure
3702,48,blue-collar,married,secondary,no,1738.0,yes,no,cellular,15,apr,349,1,-1,0,unknown
3961,34,admin.,single,tertiary,no,18.0,yes,yes,cellular,30,apr,359,1,-1,0,unknown
1551,33,blue-collar,married,primary,no,245.0,yes,yes,cellular,8,may,253,3,-1,0,unknown
3460,24,services,married,secondary,yes,110.0,yes,no,unknown,23,may,27,1,-1,0,unknown
504,41,management,married,tertiary,no,3872.0,no,no,cellular,15,oct,231,1,-1,0,unknown
4485,53,blue-collar,married,primary,no,238.0,yes,no,cellular,11,may,238,2,361,5,failure
4303,46,technician,single,secondary,no,834.0,yes,no,cellular,11,jul,196,2,-1,0,unknown
1239,28,blue-collar,single,secondary,no,4229.0,yes,yes,cellular,5,may,205,2,-1,0,unknown
2163,51,technician,married,secondary,no,1490.0,yes,no,cellular,18,jul,227,2,-1,0,unknown
277,38,technician,single,tertiary,no,0.0,no,no,cellular,28,aug,247,2,-1,0,unknown
3420,36,management,single,tertiary,no,1283.0,no,no,cellular,18,aug,92,5,-1,0,unknown
2538,44,management,married,secondary,no,,yes,no,unknown,20,jun,218,1,-1,0,unknown
4483,31,technician,married,secondary,no,119.0,yes,no,cellular,4,feb,380,1,-1,0,unknown
3011,50,services,married,secondary,no,26394.0,no,no,cellular,25,aug,206,4,-1,0,unknown
3097,37,services,married,primary,no,52.0,yes,no,unknown,7,may,359,1,-1,0,unknown
397,37,technician,single,tertiary,no,6101.0,no,no,cellular,4,may,60,5,87,1,success
3152,47,housemaid,married,primary,no,0.0,no,no,cellular,10,aug,1225,2,-1,0,unknown
3787,53,blue-collar,married,secondary,no,483.0,yes,no,cellular,3,feb,288,3,-1,0,unknown
3135,48,management,married,tertiary,no,1808.0,yes,no,cellular,26,feb,245,1,-1,0,unknown
2991,37,management,divorced,tertiary,no,0.0,yes,no,cellular,11,may,217,6,-1,0,unknown
1400,35,technician,married,secondary,no,2.0,no,no,telephone,28,jan,653,3,-1,0,unknown
3325,28,blue-collar,single,secondary,no,416.0,yes,no,unknown,13,may,452,2,-1,0,unknown
1030,38,management,married,tertiary,no,-70.0,yes,no,cellular,30,jan,140,1,2,3,other
1102,48,management,married,tertiary,no,7289.0,yes,no,cellular,2,feb,316,3,-1,0,unknown
349,47,self-employed,married,tertiary,no,2303.0,yes,no,cellular,6,may,323,2,364,1,failure
3664,34,technician,married,secondary,no,351.0,yes,no,cellular,18,jul,467,1,-1,0,unknown
1987,35,services,single,secondary,no,1063.0,yes,yes,cellular,16,apr,327,1,-1,0,unknown
2707,58,management,married,tertiary,no,541.0,yes,no,cellular,8,may,98,1,-1,0,unknown
2648,51,blue-collar,married,secondary,no,397.0,yes,no,cellular,20,aug,293,2,-1,0,unknown
4386,39,management,divorced,tertiary,no,355.0,yes,no,cellular,25,aug,313,5,-1,0,unknown
3482,59,retired,married,secondary,no,5706.0,yes,no,cellular,25,jul,471,2,-1,0,unknown
3719,49,management,single,tertiary,no,588.0,no,no,cellular,28,aug,70,9,-1,0,unknown
3760,46,management,married,tertiary,no,0.0,no,no,unknown,7,may,70,2,-1,0,unknown
4400,48,admin.,married,secondary,no,5.0,yes,no,unknown,7,may,697,2,-1,0,unknown
280,59,self-employed,married,tertiary,no,593.0,no,no,unknown,13,may,64,2,-1,0,unknown
710,46,blue-collar,married,primary,no,67.0,no,no,unknown,24,jun,9,1,-1,0,unknown
1256,55,services,divorced,secondary,no,218.0,yes,no,unknown,29,may,200,2,-1,0,unknown
132,43,blue-collar,married,unknown,yes,-715.0,yes,no,unknown,30,may,67,3,-1,0,unknown
2717,29,technician,single,tertiary,no,2325.0,no,no,cellular,2,feb,125,1,-1,0,unknown
2866,36,admin.,married,secondary,no,0.0,yes,yes,cellular,9,feb,101,2,-1,0,unknown
3798,38,management,single,tertiary,no,0.0,no,no,cellular,24,jul,164,1,-1,0,unknown
4379,41,blue-collar,married,primary,no,1172.0,yes,no,unknown,15,may,153,1,-1,0,unknown
3866,28,blue-collar,single,secondary,no,0.0,yes,no,unknown,28,may,386,1,-1,0,unknown
4092,43,technician,married,secondary,no,297.0,yes,no,cellular,14,oct,119,3,-1,0,unknown
2038,33,blue-collar,single,secondary,no,5137.0,yes,no,cellular,6,may,123,1,-1,0,unknown
1199,35,management,single,tertiary,no,2988.0,yes,no,cellular,25,may,179,1,-1,0,unknown
2369,45,entrepreneur,married,secondary,no,68.0,yes,no,unknown,7,may,254,1,-1,0,unknown
859,51,entrepreneur,divorced,tertiary,no,4.0,yes,yes,cellular,20,apr,74,5,-1,0,unknown
3435,48,technician,married,secondary,no,178.0,yes,no,unknown,17,jun,320,4,-1,0,unknown
3584,46,blue-collar,married,secondary,no,-1400.0,yes,no,telephone,6,may,309,3,355,4,failure
2641,73,retired,married,secondary,no,19.0,no,no,cellular,5,nov,509,2,-1,0,unknown
4300,59,retired,married,primary,no,0.0,no,no,cellular,5,jun,493,2,-1,0,unknown
2872,42,retired,single,tertiary,no,308.0,no,no,cellular,30,jan,114,2,-1,0,unknown
4407,45,admin.,divorced,secondary,no,59.0,yes,no,cellular,24,jul,873,8,-1,0,unknown
2548,34,blue-collar,married,unknown,no,41.0,yes,no,cellular,6,may,34,9,-1,0,unknown
1160,38,blue-collar,divorced,secondary,no,157.0,no,no,unknown,9,jun,299,5,-1,0,unknown
