index,account_balance
3397,998.0
3548,-650.0
3220,470.0
1338,-888.0
1876,-887.0
4194,133.0
2436,117.0
4444,775.0
120,1890.0
3224,-375.0
3110,841.0
3208,-518.0
883,58.0
298,593.0
1189,201.0
2995,593.0
2249,780.0
865,-255.0
1569,181.0
103,3777.0
3811,-402.0
4396,0.0
36,229.0
975,215.0
2207,1117.0
441,239.0
696,6000.0
3471,1291.0
4407,59.0
3464,238.0
4200,548.0
1574,7702.0
1797,125.0
1427,358.0
2584,2395.0
3371,-471.0
1931,4365.0
2934,88.0
3904,76.0
2098,32.0
4224,426.0
1699,323.0
1577,104.0
91,455.0
352,278.0
2083,214.0
146,1906.0
1771,347.0
935,2904.0
858,144.0
1882,440.0
3936,3050.0
2262,99.0
996,37.0
1600,6217.0
2905,202.0
3677,167.0
2006,1869.0
3039,8044.0
284,260.0
3611,389.0
3783,76.0
1302,494.0
3318,745.0
3661,0.0
3589,3576.0
1005,10758.0
2615,776.0
1221,1772.0
2359,417.0
3645,6.0
503,103.0
4161,0.0
2651,2984.0
3776,-11.0
1633,699.0
2928,930.0
2983,1278.0
2510,-200.0
2824,2380.0
3964,835.0
3865,0.0
2184,3107.0
1201,1270.0
1215,598.0
679,3706.0
515,757.0
781,352.0
1331,97.0
3708,473.0
4427,0.0
2546,508.0
1387,553.0
2257,383.0
4357,213.0
2010,1494.0
1307,1459.0
4298,3529.0
3988,-967.0
590,334.0
2424,1890.0
3002,3354.0
176,5181.0
4475,1335.0
3990,0.0
3580,6704.0
811,88.0
4003,-147.0
2182,104.0
2090,0.0
4333,2186.0
2994,140.0
1863,45.0
4408,131.0
4334,20453.0
2863,385.0
2191,363.0
172,462.0
3164,6164.0
4451,6880.0
2589,1273.0
1888,-72.0
1434,846.0
261,0.0
3130,0.0
3649,771.0
4426,1536.0
940,172.0
1167,889.0
639,703.0
1557,1562.0
1575,464.0
744,4020.0
3272,5045.0
397,6101.0
3730,3285.0
2877,169.0
1436,-28.0
3494,-1.0
4121,-308.0
668,138.0
2073,697.0
2776,22856.0
188,23.0
3027,0.0
598,-49.0
2243,401.0
280,593.0
3533,179.0
457,402.0
3257,1588.0
3149,500.0
1219,320.0
2984,982.0
4377,-617.0
1083,768.0
1214,0.0
1738,2058.0
1950,1260.0
4286,722.0
3619,145.0
909,-139.0
2089,104.0
4267,148.0
1103,1665.0
230,142.0
4011,1602.0
719,1045.0
3267,321.0
3590,1666.0
1540,1210.0
340,832.0
2959,33.0
3884,506.0
205,0.0
2434,57.0
353,4.0
4399,452.0
330,121.0
1091,0.0
3282,295.0
2197,46.0
3180,0.0
687,-12.0
4413,493.0
1135,0.0
2707,541.0
2351,1317.0
1955,-154.0
3046,232.0
1727,197.0
4118,189.0
2245,115.0
1862,1230.0
510,121.0
3436,444.0
2868,771.0
2119,591.0
4418,3529.0
3641,268.0
2155,712.0
4064,125.0
943,109.0
3986,6836.0
4217,2812.0
2469,1623.0
3338,293.0
1316,3134.0
3340,199.0
2039,13044.0
1519,769.0
3717,1585.0
2278,943.0
2701,809.0
1530,3992.0
2462,1380.0
4448,304.0
861,866.0
2918,14.0
3284,367.0
3349,265.0
1865,950.0
563,2497.0
1011,198.0
1872,247.0
3247,1545.0
1733,3172.0
249,0.0
4018,261.0
3577,0.0
3000,644.0
999,291.0
694,1430.0
1958,-1164.0
1817,2171.0
2394,2319.0
3927,1698.0
3088,2544.0
1468,0.0
189,-1206.0
3597,4994.0
4290,35.0
295,-701.0
2742,1203.0
2363,659.0
1026,1069.0
907,60.0
1815,175.0
135,0.0
1922,-300.0
3858,-107.0
171,37.0
258,7190.0
977,134.0
