"12-Bar Original"	1965	Anthology 2	Lennon, McCartney, Harrison and Starkey		—	—	
"A Day in the Life"	1967	Sgt. Pepper's Lonely Hearts Club Band	Lennon and McCartney	Lennon and McCartney	63	—	B-side
"A Hard Day's Night"	1964	UK: A Hard Day's Night US: 1962-1966	Lennon	Lennon, with McCartney	1	1	
"A Shot of Rhythm and Blues"	1963	Live at the BBC	Thompson	Lennon	—	—	Cover
"A Taste of Honey"	1963	UK: Please Please Me US: The Early Beatles	Scott, Marlow	McCartney	—	—	Cover
"Across the Universe"	1968	Let It Be	Lennon	Lennon	—	—	
"Act Naturally"	1965	UK: Help! US: Yesterday and Today	Russell, Morrison	Starkey	—	47	Cover, B-side
"Ain't She Sweet"	1961	Anthology 1	Yellen, Ager	Lennon	—	19	Cover. A 1969 recording appears on Anthology 3
"All I've Got to Do"	1963	UK: With the Beatles US: Meet The Beatles!	Lennon	Lennon	—	—	
"All My Loving"	1963	UK: With the Beatles US: Meet The Beatles!	McCartney	McCartney	—	45	
"All Things Must Pass"	1969	Anthology 3	Harrison	Harrison	—	—	
"All Together Now"	1967	Yellow Submarine	McCartney, with Lennon	McCartney, with Lennon	—	—	
"All You Need Is Love"	1967	Magical Mystery Tour	Lennon	Lennon	1	1	
"And I Love Her"	1964	UK: A Hard Day's Night US: Something New	McCartney, with Lennon	McCartney	—	12	
"And Your Bird Can Sing"	1966	UK: Revolver US: Yesterday and Today	Lennon, with McCartney	Lennon	—	—	
"Anna (Go to Him)"	1963	UK: Please Please Me US: The Early Beatles	Alexander	Lennon	—	—	Cover
"Another Girl"	1965	Help!	McCartney	McCartney	—	—	
"Any Time at All"	1964	UK: A Hard Day's Night US: Something New	Lennon, with McCartney	Lennon, with McCartney	—	—	
"Ask Me Why"	1962	UK: Please Please Me US: The Early Beatles	Lennon, with McCartney	Lennon	—	—	B-side
"Baby It's You"	1963	UK: Please Please Me US: The Early Beatles	Bacharach, David, Dixon	Lennon	7	67	Cover of The Shirelles song; the BBC version charted in the UK
"Baby's in Black"	1964	UK: Beatles for Sale US: Beatles '65	Lennon and McCartney	Lennon and McCartney	—	—	
"Baby, You're a Rich Man"	1967	Magical Mystery Tour	Lennon and McCartney	Lennon	1	34	B-Side
"Back in the U.S.S.R."	1968	The Beatles	McCartney	McCartney	19	—	
"Bad Boy"	1965	UK: A Collection of Beatles Oldies US: Beatles VI	Williams	Lennon	—	—	Cover
"Bad to Me"	1963	The Beatles Bootleg Recordings 1963	Lennon	Lennon	—	—	Written for Billy J. Kramer, single released July 1963
"Beautiful Dreamer"	1963	On Air – Live at the BBC Volume 2	Foster	McCartney	—	—	Cover
"Because I Know You Love Me So"	1969	Let It Be... Naked - Fly on the Wall bonus disc	Lennon, McCartney	Lennon, McCartney	—	—	
"Because"	1969	Abbey Road	Lennon	Lennon, McCartney, Harrison	—	—	
"Being for the Benefit of Mr. Kite!"	1967	Sgt. Pepper's Lonely Hearts Club Band	Lennon, with McCartney	Lennon	—	—	
"Birthday"	1968	The Beatles	McCartney, with Lennon	McCartney, with Lennon	—	—	
"Blackbird"	1968	The Beatles	McCartney	McCartney	—	—	
"Blue Jay Way"	1967	Magical Mystery Tour	Harrison	Harrison	—	—	
"Boys"	1963	UK: Please Please Me US: The Early Beatles	Dixon, Farrell	Starkey (Best)	—	102	Cover
"Bésame Mucho"	1962	Anthology 1	Velázquez, Skylar	McCartney	—	—	Cover
"Can't Buy Me Love"	1964	UK: A Hard Day's Night US: Hey Jude	McCartney	McCartney, with Lennon	1	1	
"Carnival of Light"	1967		McCartney	N/A	—	—	
"Carol"	1963	Live at the BBC	Berry	Lennon	—	—	Cover
"Carry That Weight"	1969	Abbey Road	McCartney	McCartney, with Lennon, Harrison and Starkey	—	—	
"Catswalk"	1962		McCartney	N/A	—	—	
"Cayenne"	1960	Anthology 1	McCartney	N/A	—	—	
"Chains"	1963	Please Please Me	Goffin, King	Harrison, with Lennon and McCartney	—	—	Cover
"Child of Nature"	1968		Lennon	Lennon	—	—	Turned into Lennon's Jealous Guy
"Christmas Time (Is Here Again)"	1967	The Beatles' Christmas Album	Lennon, McCartney, Harrison and Starkey	Lennon, McCartney, Harrison and Starkey	2	—	B-side of "Free As A Bird"
"Circles"	1968		Harrison	Harrison	—	—	On Harrison's Gone Troppo
"Clarabella"	1963	Live at the BBC	Pingatore	McCartney	—	—	Cover
"Come and Get It"	1969	Anthology 3	McCartney	McCartney	—	—	Recorded by Badfinger
"Come Together"	1969	Abbey Road	Lennon	Lennon	4	1	
"Cry Baby Cry"	1968	The Beatles	Lennon	Lennon, with McCartney	—	—	
"Cry for a Shadow"	1961	Anthology 1	Lennon and Harrison	N/A	—	—	
"Crying, Waiting, Hoping"	1963	Live at the BBC	Buddy Holly	Harrison	—	—	Cover
"Day Tripper"	1965	UK: A Collection of Beatles Oldies US: Yesterday and Today	Lennon, with McCartney	Lennon and McCartney	1	5	Double A-side with "We Can Work It Out"
"Dear Prudence"	1968	The Beatles	Lennon	Lennon	—	—	McCartney on drums
"Devil in Her Heart"	1963	UK: With the Beatles US: The Beatles Second Album	Drapkin (aka Ricky Dee)	Harrison	—	—	Cover
"Dig a Pony"	1969	Let It Be	Lennon	Lennon	—	—	
"Dig It"	1969	Let It Be	Lennon, with McCartney, Harrison and Starkey	Lennon	—	—	Not on "Let It Be...Naked"
"Dizzy, Miss Lizzy"	1965	UK: Help! US: Beatles VI	Williams	Lennon	—	—	Cover
"Do You Want to Know a Secret?"	1963	UK: Please Please Me US: The Early Beatles	Lennon	Harrison	—	2	US single only
"Doctor Robert"	1966	UK: Revolver US: Yesterday and Today	Lennon, with McCartney	Lennon	—	—	
"Don't Bother Me"	1963	UK: With the Beatles US: Meet The Beatles!	Harrison	Harrison	—	—	
"Don't Ever Change"	1963	Live at the BBC	Goffin, King	Harrison	—	—	Cover
"Don't Let Me Down"	1969	UK: 1967-1970 US: Hey Jude	Lennon	Lennon	—	35	B-side
"Don't Pass Me By"	1968	The Beatles	Starkey	Starkey	—	—	Featuring Jack Fallon on fiddle.
"Drive My Car"	1965	UK: Rubber Soul US: Yesterday and Today	McCartney, with Lennon	McCartney, with Lennon	—	—	
"Eight Days a Week"	1964	UK: Beatles for Sale US: Beatles VI	McCartney, with Lennon	Lennon, with McCartney	—	1	US single only
