Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,1,2,Female,94,3,2,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279,8,3,Male,61,2,2,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373,2,4,Male,92,2,1,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392,3,4,Female,56,3,1,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591,2,1,Male,40,3,1,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,1005,2,4,Male,79,3,1,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,1324,3,3,Female,81,4,1,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,1358,24,4,Male,67,3,1,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,216,23,4,Male,44,2,3,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,1299,27,3,Male,94,3,2,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,809,16,1,Male,84,4,1,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,153,15,4,Female,49,2,2,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,670,26,1,Male,31,3,1,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346,19,2,Male,93,3,1,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,103,24,3,Male,50,2,1,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389,21,2,Female,51,4,3,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,334,5,1,Male,80,4,1,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,No,Non-Travel,1123,16,4,Male,96,4,1,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,2,1,Female,78,2,4,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,371,2,4,Male,45,3,1,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2
24,No,Non-Travel,673,11,1,Female,96,4,2,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218,9,3,Male,82,2,1,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419,7,1,Female,53,3,3,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391,15,3,Male,96,3,1,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699,6,2,Male,83,3,1,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,5,3,Female,58,3,5,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,1125,16,2,Female,72,1,1,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,691,8,3,Male,48,3,2,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477,7,1,Female,42,2,3,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705,2,2,Female,83,3,5,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924,2,3,Male,78,3,1,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459,10,4,Male,41,3,2,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125,9,4,Male,83,2,1,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895,5,4,Male,56,3,2,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,1,2,Male,61,3,1,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,2,4,Female,72,4,1,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,3,1,Male,86,2,1,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,2,4,Female,97,3,1,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,5,2,Female,82,2,1,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,1,3,Female,42,4,2,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,4,3,Male,75,3,1,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,2,4,Female,33,3,1,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,25,1,Male,48,1,1,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,8,4,Male,37,3,3,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,1,3,Female,58,3,2,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,12,2,Female,49,3,5,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065,23,2,Male,72,3,2,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,19,2,Male,73,3,1,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,5,1,Male,98,3,2,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,8,4,Male,36,4,1,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,1,1,Male,98,2,3,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,5,3,Male,50,3,1,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,1,2,Female,75,3,2,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,11,3,Male,79,2,3,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,23,3,Female,47,2,2,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,1,1,Female,98,3,3,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,18,2,Male,71,3,3,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,23,3,Female,30,3,1,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,7,4,Male,48,3,2,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,1,1,Male,51,2,2,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,1,1,Male,33,3,2,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,29,4,Female,50,3,2,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,7,2,Female,43,2,5,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,25,1,Female,99,3,3,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,8,3,Female,59,3,3,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,8,4,Female,33,3,4,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,11,2,Male,95,2,2,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,7,2,Male,59,3,3,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,1,2,Male,79,3,1,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,9,4,Male,79,2,1,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,1,1,Female,57,2,2,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,2,3,Male,76,3,1,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,1,3,Male,87,3,1,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
