respid,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln
1,2,1,1,1,1,2, ,1,1,1,1,1,1,2,1,1,1,1,1,2,2, ,1,1,3,3,2,1,2,3,1,1,information has become available more frequently and easier,1,1,1,1,2,2,33,2,3,1,2,1, , , ,1, ,6,2, 
2,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,3, , ,8, , ,9, ,5,1,2,2,76,1,98,3,2,1, , , ,1, ,4,3,8
3,2,1,2,3,1,2, ,1,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,1,2,1, ,1,1,it connects people together,2,1,0, , , ,99,5,5,5,2,1, , , ,1, ,4,1, 
4,2,1,1,4,1,2, ,1,1,1,2,1,2,2,2,1,2,2,2,2,2, , ,3, , ,2,3,3,3,2,1,kids spend to much time on it,5,1,2,1,2,2,60,2,5,8,2,1, , , ,1, ,2,2, 
4,2,1,1,4,1,2, ,1,1,1,2,1,2,2,2,1,2,2,2,2,2, , ,3, , ,2,3,3,3,2,1,kids spend to much time on it,5,1,2,1,2,2,60,2,5,8,2,1, , , ,1, ,2,2, 
5,1,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,1,1, , ,3, ,2,1,2,1,3,1,1,it's just another tool for people to use,1,1,6,1,2,1,55,1,4,1,2,1, , , ,1, ,7,1, 
6,1,1,1,2,1,2, ,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2, ,1, ,3,3,5,1,1,3, , ,9,1,18,1,2,1,58,1,7,1,2,1, , , ,1, ,7,3,2
7,2,1,1,2,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,1, , ,3, ,5,3,3,3,4,8, , ,9,1,3,1,2,1,99,1,5,5,9,9, , , ,9, ,9,2, 
8,1,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,1, , ,2, ,4,2,2,2,3,1,1,Spreading of information such as political truth. When someone in the politicial position and has power spreads vicious lies.,1,1,2,1,2,1,72,1,6,4,2,1, , , ,1, ,6,3,2
9,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,6, , , ,8, , ,9, ,3,2,2,2,58,6,1,4,2,2, , , ,2, ,1,1, 
11,2,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,2,2, , ,2, ,4,1,2,2,3,1,1,its simpliedfied our daily life,1,1,97,2,2,1,68,1,6,3,2,1, , , ,1, ,2,4,8
12,1,1,1,2,1,2, ,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,4,3, ,4,1,4,1, ,1,1,"gives you information you cant get anywhere else, nothing you cant find out there.",1,1,5,1,2,1,65,1,7,3,2,1, , , ,1, ,2,1, 
13,2,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,2,1,1,4,1,1,information,1,1,8,1,1,2,63,1,6,2,2,1, , , ,1, ,6,3,1
14,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,8, , ,9, ,6,2,2,2,88,1,7,3,2,3, , , ,3, ,4,2, 
15,2,1,1,3,1,2, ,1,1,1,2,1,2,1,2,1,2,1,1,1,2,4, ,1, ,4,1,3,1,3,1,1,online shopping,1,1,3,1,2,1,64,1,6,3,2,1, , , ,1, ,5,1, 
20,2,1,1,2,1,2, ,1,1,1,2,2,9,2,2,1,2,2,2,1,2, , ,5, , ,3,1,3,4,2,1,instant acess,8,8,98,1,2,2,40,1,7,4,2,1, , , ,1, ,99,1, 
21,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,2,1,1, ,1,1,quanity of information,1,1,12,1,2,2,50,1,4,1,2,1, , , ,1, ,9,1, 
23,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,4, , ,2,1,You put stuff out there and everyone knows your business.,7, ,0, , , ,67,3,4,3,2,1, , , ,1, ,3,3,8
24,1,1,2,4,2, , ,1,1,2,2,2,1,2,2,1,1,1,2,8,2, , ,5,5,3,1,1,3, ,1,1,because you can serach for things like employment and find locations of stuff,1,1,1,2,1,2,30,8,3,6,8,2, , , ,2, ,1,3,2
25,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,2,1,just dont like it,8, ,0, , , ,84,1,3,3,2,1, , , ,1, ,3,4,1
26,1,1,1,3,1,2, ,2, ,2,2,2,1,2,2,2,2,1,2,1,8, , , , ,1,1, ,4, ,1,1,you can find out goodinfo,1,1,0, , , ,43,6,3,6,2,1, , , ,1, ,1,8,8
27,2,1,2,3,1,2, ,2, ,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1, ,1, ,1,1,updated news and politics,1,1,0, , , ,61,4,5,6,2,1, , , ,1, ,2,3,1
28,1,1,1,3,1,2, ,1,2,2,2,2,2,2,2,2,2,1,2,1,2, , , , ,1,3,2,2, ,1,1,can get moreinformation,1,1,0, , , ,68,5,3,3,2,1, , , ,1, ,3,1, 
29,2,1,1,2,1,2, ,2, ,2,1,1,2,2,2,2,2,1,2,1,2, , , , ,1,1, ,1, ,3, , ,9,1,0, , , ,67,1,4,3,2,1, , , ,1, ,2,3,1
31,2,2,2, , , , ,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,6,2, , ,2,1,IT TAKES AWAY THE PRODUCTIVE LIFESTYLE AND WORK FROM ALL OF US.,4, ,4,1,2,2,25,1,3,2,2,1, , , ,1, ,2,1, 
32,1,1,1,2,1,2, ,2, ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, ,4,3,1,1,information,1,2,1,1,2,2,79,1,1,3,1,7, , , ,5,3,1,4,2
33,1,1,1,1,1,2, ,1,1,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,1,4,3,2, ,1,1,helps people communicate,2,1,12,1,1,2,99,9,99,99,9,9, , , ,9, ,99,9,9
35,2,1,1,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,1, ,2,4,2,2,4,2,1,In so many ways it has lessened our social bonds.,4,3,35,1,2,2,69,1,6,3,2,1, , , ,1, ,8,1, 
36,1,1,1,2,1,2, ,1,2,1,1,1,2,1,1,2,2,1,1,2,8,4,3, , ,2,1,1,1,3,1,8, ,9,1,2,2,2,1,86,1,6,3,2,1, , , ,1, ,6,3,8
40,2,1,1,3,1,2, ,1,2,1,2,1,2,2,2,1,2,2,2,2,2, , ,3, , ,2,3,2,3,1,1,SOME GOOD SOME BAD,8,1,3,2,2,2,50,9,7,1,2,1, , , ,1, ,99,1, 
41,2,1,1,2,1,2, ,1,2,1,2,1,2,2,2,1,2,1,2,1,2, , ,1, ,3,1,3,1,4,1,1,"It saves gas, time and i can go to many different places more efficiently.",1,1,1,1,2,2,48,1,5,5,2,1, , , ,1, ,3,2, 
42,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,3, , ,1,1,good way to get in touch with each other very quickly,2, ,12,1,2,2,89,5,4,4,2,1, , , ,1, ,8,2, 
43,1,1,1,2,1,3, ,1,1,2,1,1,2,2,2,2,2,1,2,2,1, , , , ,3,1,3,3, ,2,1,to much information lack of privacy,7,2,12,1,1,2,75,1,6,5,2,1, , , ,1, ,6,1, 
44,2,1,1,4,1,2, ,1,1,1,1,1,2,2,2,1,2,1,1,1,2, , ,3, ,3,4,2,2,4,1,1,learn and research,1,1,3,1,2,2,37,1,7,1,1,7, , , ,5,3,7,1, 
46,2,1,1,4,1,8, ,1,1,8,1,1,2,2,2,1,2,1,1,1,2, , ,3, ,5,3,1,1, ,2,1,always on it,4,3,2,1,1,2,65,1,3,3,2,3, , , ,3, ,9,8,2
47,2,1,1,2,1,2, ,1,1,1,2,1,2,2,2,1,2,1,2,1,2, , ,1, ,3,3,1,2,4,1,1,access to information that people wouldnt otherwise have,1,1,6,1,2,2,65,1,6,3,2,1, , , ,1, ,7,1, 
48,2,1,1,1,1,2, ,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,5,1, ,5,2,1,1,4,1,1,Connectedness,2,1,40,1,2,1,49,1,6,1,2,1, , , ,1, ,99,2, 
49,1,1,1,2,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,2,3,1, ,1,1,communication,2,1,10,1,2,2,99,5,6,3,2,1, , , ,1, ,9,2, 
50,2,1,2,4,1,2, ,1,1,2,2,1,2,2,2,1,2,2,2,2,2, , ,5, , ,2,4,4, ,1,1,ease of access to medical records,1,1,4,1,2,2,63,1,5,3,2,1, , , ,1, ,7,3,9
51,2,1,1,1,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,1, , ,1, ,2,4,1,1,1,1,1,information connection,1,1,12,1,1,1,53,3,5,1,2,1, , , ,1, ,2,3,8
52,2,1,1,3,1,8, ,1,8,1,1,1,1,2,1,1,1,1,1,2,2, ,4,3,4,4,1,2,2,3,1,1,it gets people connected and gives people information,2,1,0, , , ,57,2,3,1,2,1, , , ,1, ,7,1, 
54,2,1,1,2,2, , ,1,1,1,2,1,2,1,1,1,2,1,2,1,1,4,5,1, ,4,6,2,1,1,1,1,To connect people with information and other people.,2,3,12,1,2,2,34,1,6,2,2,9, , , ,9, ,2,3,8
55,2,1,1,1,1,3, ,1,1,1,1,1,1,2,2,1,1,1,2,2,2, , ,1,5,5,1,1,3,3,2,1,Bad things for kids,5,1,0, , , ,53,1,4,8,2,1, , , ,1, ,8,1, 
56,2,1,1,1,1,2, ,1,1,2,2,1,2,2,2,2,2,2,2,1,2, , , , , ,1,1,1, ,1,1,easy access to information,1,1,1,1,2,2,60,1,5,1,2,2, , , ,2, ,9,1, 
57,2,1,1,2,1,2, ,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1, ,3,4,4,1,1,1,1,"connecting people, information",2,1,20,1,2,1,52,1,5,2,2,1, , , ,1, ,7,3,8
58,2,1,1,2,1,2, ,2, ,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1, ,3,1, ,1,2,1,1,keeps us more informed,1,1,52,1,1,1,78,1,8,3,2,1, , , ,1, ,7,3,2
60,2,1,1,2,1,2, ,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2, ,1,2,3,3,2,4,1,1,Because it helps communicate ideas and revolutionized the exchanging process,2,1,10,1,2,2,18,6,3,2,2,1, , , ,1, ,6,3,2
62,2,2,2, , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, , ,8, , ,9, ,97,2,2,2,82,6,3,3,1,7, , , ,5,3,1,8,8
63,2,1,1,2,1,2, ,1,1,1,1,1,1,2,2,1,2,1,2,1,2, , ,1, ,3,3,1,1,3,1,1,"INFORMATION AT YOUR FINGERTIP, STOP HUSBAND AND HERSELF FROM ARGUING",1,1,35,1,1,1,70,1,6,3,2,1, , , ,1, ,6,1, 
64,2,1,1,2,2, , ,1,2,1,1,1,1,2,2,1,2,1,2,2,2, , ,5, ,4,1,4,1,3,3, , ,9,1,5,1,1,2,55,6,5,1,2,2, , , ,2, ,5,3,2
65,1,1,1,3,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,2, ,3,4,4,3,3,1,1,fake news,8,1,12,1,2,2,74,1,4,3,2,1, , , ,1, ,5,1, 
66,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,1,1,"you can look up a lot of things and you can get a lot of information, bad information too. it's a mixed blessing",1, ,15,1,2,2,87,5,8,3,2,1, , , ,1, ,8,3,1
67,2,1,1,3,1,8, ,1,1,1,1,1,1,2,2,1,2,1,2,2,1, , ,2, ,5,1,2,1,4,1,1,we can keep in touch with loved ones helps research quicker,2,1,7,1,2,1,57,1,7,1,2,2, , , ,2, ,8,2, 
68,1,1,1,3,1,2, ,2, ,2,1,1,1,2,2,2,2,2,2,2,2, , , , , ,3, ,3, ,1,1,ability to gather information and inquire about something,1,1,8,1,1,2,36,6,5,1,2,1, , , ,1, ,5,2, 
70,1,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,4, , , ,8, , ,9, ,0, , , ,55,5,3,1,2,1, , , ,1, ,3,4,9
71,2,1,2,2,1,8, ,1,1,2,2,1,1,1,2,1,1,2,2,2,2,3, ,4,5, ,1,1,1, ,1,1,information,1,1,12,1,2,1,90,5,5,3,2,1, , , ,1, ,4,1, 
72,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,8, , ,9, ,0, , , ,95,3,4,3,2,1, , , ,1, ,2,1, 
73,1,1,1,2,1,2, ,1,1,2,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,3,1,4,1, ,1,1,"NEWS ,WEATHER,COMMUNICATION",1,1,0, , , ,74,1,7,3,2,1, , , ,1, ,5,1, 
74,2,2,2, , , , ,2, ,2,2,2,2, , , , , , , , , , , , , ,1, , , ,3, , ,9, ,98,1,2,1,74,5,1,3,2,2, , , ,2, ,1,3,9
75,2,1,2,1,1,2, ,1,2,1,2,1,2,2,2,1,2,2,2,2,2, , ,2, , ,1,1,1,1,1,1,communication,2,1,0, , , ,70,3,4,3,2,2, , , ,2, ,4,2, 
76,1,1,2,2,1,2, ,1,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,5,1,1,5,4,3, , ,9,3,1,1,2,2,64,1,4,2,2,1, , , ,1, ,7,1, 
